namespace,cluster,repo,visibility,archived,fork,pushed,disk_kb,language,stars,disposition
ai4hc,Medical/Health,enroll-tools,PUBLIC,false,true,2020-03-29T10:40:01Z,0,0,,stub?
ai4hc,Medical/Health,telemed-courses,PUBLIC,false,true,2020-03-29T10:33:44Z,24,0,,fork?
ai4hc,Medical/Health,icd10_2018,PUBLIC,false,true,2018-09-01T14:46:51Z,34643,0,,fork?
awsar,Legal/Justice,awsar,PUBLIC,false,false,2018-09-01T10:55:55Z,0,0,,stub?
ayeai,AyeAI,contracts,PRIVATE,false,false,2025-03-09T11:09:01Z,0,0,,stub?
ayeai,AyeAI,ayeai.ayeam.com,PUBLIC,false,true,2025-01-16T07:05:00Z,14267,Ruby,0,fork?
ayeai,AyeAI,join,PUBLIC,false,false,2024-08-24T01:21:24Z,1,0,,stub?
ayeai,AyeAI,ayeai,PRIVATE,false,false,2024-04-15T12:35:13Z,0,0,,stub?
ayeai,AyeAI,opssi,PUBLIC,false,false,2023-12-09T06:33:00Z,30,1,,active-lib?
ayeai,AyeAI,ChainOfSurvival.github.io,PUBLIC,false,true,2023-08-20T22:00:12Z,47,Ruby,0,fork?
ayeai,AyeAI,ni2a2,PUBLIC,false,false,2023-08-09T15:51:12Z,20,JavaScript,0,active-lib?
ayeai,AyeAI,ayesee,PRIVATE,false,false,2023-08-06T01:44:35Z,5195,0,,active-lib?
ayeai,AyeAI,upload,PUBLIC,false,false,2022-11-29T10:53:27Z,9981,0,,active-lib?
ayeai,AyeAI,chuha,PUBLIC,false,false,2022-11-25T13:54:24Z,8,0,,active-lib?
ayeai,AyeAI,athena,PUBLIC,false,true,2021-08-06T16:08:57Z,13973,Ruby,0,fork?
ayeai,AyeAI,ayeam,PUBLIC,false,true,2021-08-06T16:08:57Z,13973,Ruby,0,fork?
ayeai,AyeAI,ECRs,PRIVATE,false,false,2020-08-12T04:01:39Z,0,0,,stub?
ayeai,AyeAI,anusaaraka,PUBLIC,false,false,2020-02-18T01:23:36Z,72056,CLIPS,0,active-lib?
ayeai,AyeAI,ayevdi,PUBLIC,false,false,2020-02-09T09:08:24Z,290,Awk,1,active-lib?
ayeai,AyeAI,shellinabox,PUBLIC,false,true,2020-01-14T12:48:27Z,4656,C,0,fork?
ayeai,AyeAI,spl,PUBLIC,false,false,2019-12-14T08:45:20Z,13,0,,active-lib?
ayeai,AyeAI,SPL-ignore-and-delete,PUBLIC,false,false,2019-12-14T08:42:19Z,20,0,,active-lib?
ayeai,AyeAI,ayeq,PUBLIC,false,false,2019-12-11T19:19:42Z,4,0,,active-lib?
