namespace,repo,visibility,archived,pushed_at,language,candidate_class
ai4hc,enroll-tools,PUBLIC,false,2020-03-29T10:40:01Z,,library?
ai4hc,telemed-courses,PUBLIC,false,2020-03-29T10:33:44Z,,library?
ai4hc,icd10_2018,PUBLIC,false,2018-09-01T14:46:51Z,,library?
awsar,awsar,PUBLIC,false,2018-09-01T10:55:55Z,,library?
ayeai,contracts,PRIVATE,false,2025-03-09T11:09:01Z,,library?
ayeai,ayeai.ayeam.com,PUBLIC,false,2025-01-16T07:05:00Z,Ruby,library?
ayeai,join,PUBLIC,false,2024-08-24T01:21:24Z,,library?
ayeai,ayeai,PRIVATE,false,2024-04-15T12:35:13Z,,library?
ayeai,opssi,PUBLIC,false,2023-12-09T06:33:00Z,,library?
ayeai,ChainOfSurvival.github.io,PUBLIC,false,2023-08-20T22:00:12Z,Ruby,library?
ayeai,ni2a2,PUBLIC,false,2023-08-09T15:51:12Z,JavaScript,library?
ayeai,ayesee,PRIVATE,false,2023-08-06T01:44:35Z,,library?
ayeai,upload,PUBLIC,false,2022-11-29T10:53:27Z,,library?
ayeai,chuha,PUBLIC,false,2022-11-25T13:54:24Z,,library?
ayeai,athena,PUBLIC,false,2021-08-06T16:08:57Z,Ruby,library?
ayeai,ayeam,PUBLIC,false,2021-08-06T16:08:57Z,Ruby,library?
ayeai,ECRs,PRIVATE,false,2020-08-12T04:01:39Z,,library?
ayeai,anusaaraka,PUBLIC,false,2020-02-18T01:23:36Z,CLIPS,library?
ayeai,ayevdi,PUBLIC,false,2020-02-09T09:08:24Z,Awk,library?
ayeai,shellinabox,PUBLIC,false,2020-01-14T12:48:27Z,C,library?
ayeai,spl,PUBLIC,false,2019-12-14T08:45:20Z,,library?
ayeai,SPL-ignore-and-delete,PUBLIC,false,2019-12-14T08:42:19Z,,library?
ayeai,ayeq,PUBLIC,false,2019-12-11T19:19:42Z,,library?
ayeai,FHIR,PUBLIC,false,2019-12-11T17:23:42Z,Java,library?
ayeai,qiskit-terra,PUBLIC,false,2019-12-11T17:15:29Z,Python,library?
ayeai,sway,PUBLIC,false,2019-12-11T16:53:17Z,C,library?
ayeai,kui,PUBLIC,false,2019-12-11T16:41:22Z,TypeScript,library?
ayeai,adversarial-robustness-toolbox,PUBLIC,false,2019-12-11T16:34:14Z,Jupyter Notebook,library?
ayeai,qiskit,PUBLIC,false,2019-12-11T14:34:21Z,Python,library?
ayeai,qiskit-aer,PUBLIC,false,2019-12-11T05:56:15Z,Python,library?
ayeai,kubernetes-cobol,PUBLIC,false,2019-12-10T22:34:02Z,Dockerfile,library?
ayeai,x11docker,PUBLIC,false,2019-12-10T15:45:11Z,Shell,library?
ayeai,AIX360,PUBLIC,false,2019-12-10T07:14:09Z,Python,library?
ayeai,runc,PUBLIC,false,2019-12-06T22:33:33Z,Go,library?
ayeai,dockerfiles,PUBLIC,false,2019-12-06T01:29:19Z,Dockerfile,library?
ayeai,image-tools,PUBLIC,false,2019-12-03T04:07:21Z,Go,library?
ayeai,KodExplorer,PUBLIC,false,2019-11-29T02:10:49Z,PHP,library?
ayeai,shadow,PUBLIC,false,2019-11-27T13:29:15Z,,library?
ayeai,util-linux,PUBLIC,false,2019-11-26T12:57:40Z,C,library?
ayeai,runtime-tools,PUBLIC,false,2019-10-21T03:39:14Z,Go,library?
ayeai,dockersh,PUBLIC,false,2019-08-27T20:34:28Z,Go,library?
ayeai,Virtual-Studio,PUBLIC,false,2019-03-10T20:38:16Z,C#,library?
ayeai,go-digest,PUBLIC,false,2019-03-06T12:55:51Z,Go,library?
ayeai,ayeai.github.io,PUBLIC,false,2019-01-14T10:01:36Z,HTML,library?
ayeai,bash2python,PUBLIC,false,2017-07-24T10:08:36Z,Python,library?
ayeai,xmp,PUBLIC,false,2016-09-09T17:07:32Z,C++,library?
ayeai,insilico,PUBLIC,false,2016-01-16T15:05:01Z,C++,library?
ayeatros,twisha.github.io,PUBLIC,false,2020-04-29T14:07:52Z,,library?
ayeatros,ayeatros.github.io,PUBLIC,false,2020-03-03T12:35:59Z,,library?
ayeatros,twisha,PUBLIC,false,2020-02-29T16:45:01Z,,library?
ayeatros,iatros,PUBLIC,false,2018-09-01T11:01:28Z,,library?
ayerunner,nbrunner,PUBLIC,false,2021-09-26T15:33:42Z,Jupyter Notebook,library?
ayerunner,chintamani,PUBLIC,false,2021-09-26T07:30:54Z,C,library?
ayerunner,unani,PUBLIC,false,2018-09-01T18:41:37Z,,library?
ayevh,clinAI,PUBLIC,false,2024-10-24T18:17:20Z,,library?
ayevh,ayevh,PUBLIC,false,2024-06-19T17:53:01Z,,library?
ayevh,openemr,PUBLIC,false,2020-12-18T08:44:31Z,PHP,library?
ayevh,healthcare,PUBLIC,false,2020-06-25T01:01:27Z,,library?
ayevh,ayeatros-syllabus,PUBLIC,false,2020-03-03T12:14:24Z,,library?
ayur-repo,ayurv,PUBLIC,false,2018-09-01T15:28:29Z,,library?
biotech-repo,icd10_2018,PUBLIC,false,2018-09-01T15:42:26Z,,library?
blendedreality,icd10_2018,PUBLIC,false,2018-09-01T15:56:13Z,,library?
charak-repo,charak-repo.github.io,PUBLIC,false,2018-09-01T12:19:21Z,HTML,library?
charak-repo,icd10_2018,PUBLIC,false,2018-09-01T12:11:43Z,,library?
convdiag,drivers,PUBLIC,false,2020-05-27T21:19:17Z,,library?
convdiag,icd10_2018,PUBLIC,false,2018-09-01T15:00:35Z,,library?
DrAdvaita,icd10_2018,PUBLIC,false,2018-09-01T15:14:25Z,,library?
fursa-repo,fursa,PUBLIC,false,2018-09-01T10:59:10Z,,library?
genetics-repo,icd10_2018,PUBLIC,false,2018-09-01T16:37:26Z,,library?
health4all,health4all.github.io,PUBLIC,false,2019-09-09T21:23:51Z,,library?
health4all,icd10_2018,PUBLIC,false,2019-07-29T15:24:22Z,,library?
Hindawipython,cpython,PUBLIC,false,2018-10-02T04:54:59Z,Python,library?
Hindawipython,hindawi2016,PUBLIC,false,2016-09-18T04:54:16Z,C,library?
HIT-Tools,HIT-Tools.github.io,PUBLIC,false,2025-09-02T06:27:21Z,Jupyter Notebook,library?
